"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x8f8bb29cc38641be8e9bef12b618cd240492e35c3e144b611bd584ff404b0ba7","1614541861",2021-02-28 19:51:01,Buy,2.4810981E+21, , 2.85103435322716E+21, ,0.87024490, per ,
"0xd4ad6f516d51845b4b8d3044aa3b9939a015f6bb5cf2fb78f91137f3a16e896a","1614541861",2021-02-28 19:51:01,Buy,1.3702533223015E+21, , 1.57419998902693E+21, ,0.87044425, per ,
"0x26fe0d6964d3fac9975c3c7c3b428f8cf52b6bd05b5ea26acaae011077891e71","1614541995",2021-02-28 19:53:15,Buy,6.86355E+20, , 7.88414724190645E+20, ,0.87055071, per ,
"0x85708a70147fcf3c3a48dcc5690f06eae40dec853a501511d1592e49775ac038","1614541995",2021-02-28 19:53:15,Buy,3.35182385525018E+20, , 3.85E+20, ,0.87060360, per ,
"0xda7d9aaac165b9b1f5057b14a6ea9f36f541a5139044a7f28766785045f1c159","1614542061",2021-02-28 19:54:21,Buy,687.876654509618, DAI, 790.06662976035, HOPR,0.87065651,DAI per HOPR,Uniswap v2
"0x75f77a2aad90b94884444e8b641c3c7d80dc567ad5d93669aadaeba69c9b9787","1614542074",2021-02-28 19:54:34,Sell,3998, HOPR, 2.52239135338353, ETH,0.00063091,ETH per HOPR,Uniswap v2
"0x182c8e1a30e1faee1ff5f907141966f8da17778c04f4a9a3c2440452f368da03","1614542074",2021-02-28 19:54:34,Sell,2000, HOPR, 1730.77336443662, DAI,0.86538668,DAI per HOPR,Uniswap v2
"0x6a3159037e758553feb88238ad943badd7745b2ef1c2735bf1782242cbd3fd83","1614542081",2021-02-28 19:54:41,Buy,3437.96417058772, DAI, 3948.55078400632, HOPR,0.87069012,DAI per HOPR,Uniswap v2
"0xda93b891342ea8a376534af72983d5302ccc508df96d6f4ba419647d91a13345","1614542089",2021-02-28 19:54:49,Buy,811.202816677873, DAI, 931.442512716367, HOPR,0.87091023,DAI per HOPR,Uniswap v2
"0x923fa0c38c49b96b9fc18ea710782bfde3b80772e96d6c00938f32ba43b48af8","1614542107",2021-02-28 19:55:07,Buy,0.0479376249733737, ETH, 76.6493243735402, HOPR,0.00062541,ETH per HOPR,Uniswap v2
"0x4acd140edeeb3fa03150120cf99c62e1df39500ecee3edb2cb22bc886826708e","1614542225",2021-02-28 19:57:05,Sell,15992, HOPR, 13833.4266085036, DAI,0.86502167,DAI per HOPR,Uniswap v2
"0x54427323d51d5ad05eee132161cedc337a1dde2f18d7ef3559fe305de25777c4","1614542362",2021-02-28 19:59:22,Buy,4700.11832276532, DAI, 5403.92962080738, HOPR,0.86975935,DAI per HOPR,Uniswap v2
"0x8738f3a2718715b18c1173d652cad21af84f1cdd3f56155e4dee89d4c69177a2","1614542427",2021-02-28 20:00:27,Buy,916.3231456, DAI, 1053.18426513979, HOPR,0.87005017,DAI per HOPR,Uniswap v2
"0xeef022d916168eab012ed4b773603b826468936e8f1a77d2b64b243379aa744c","1614542512",2021-02-28 20:01:52,Buy,16637.4513581699, DAI, 19102.4946214406, HOPR,0.87095700,DAI per HOPR,Uniswap v2
"0x6dab273ed6e6413be7236aaea455d7089f0133ad41ee5b9eee93079b655047c4","1614542609",2021-02-28 20:03:29,Buy,13857.9957559405, DAI, 15882.4290314621, HOPR,0.87253629,DAI per HOPR,Uniswap v2
"0xb4d125d0fee27df3bd391a3bcc75decf8a37328a553c8fc19f8198618aa04435","1614542611",2021-02-28 20:03:31,Buy,1.19860661386303, ETH, 1902.32781107957, HOPR,0.00063007,ETH per HOPR,Uniswap v2
"0x4e979a2d2260ae66bb8f691cab8e67190819a81cf5031700cfad2bd90118e1e6","1614542615",2021-02-28 20:03:35,Buy,7862.15112735502, DAI, 8999.07261828731, HOPR,0.87366237,DAI per HOPR,Uniswap v2
"0xf33315dfe0361cce29f3f9b51b26b6911b9a648cafa02d91599e4b6b3b9f396d","1614542762",2021-02-28 20:06:02,Buy,388.260871028191, DAI, 444.18830139212, HOPR,0.87409072,DAI per HOPR,Uniswap v2
"0x932b96ce79eaff57a925384dbad690d29b69982be4522c230253584fa5ae10b7","1614542779",2021-02-28 20:06:19,Buy,2490.44701009121, DAI, 2848.70006917577, HOPR,0.87423981,DAI per HOPR,Uniswap v2
"0x1531f9d790a9c2a2470a4fe3385cf5ce1b1023b2984305a1e545af1de056a690","1614542786",2021-02-28 20:06:26,Buy,0.0507170250304427, ETH, 79.8958418886598, HOPR,0.00063479,ETH per HOPR,Uniswap v2
"0x5549de1378b2cfd79b0e7ef8d9d3a0834bf816612c1a43f4f15092d6a2afa983","1614542875",2021-02-28 20:07:55,Buy,10173.770426834, DAI, 11628.5492304516, HOPR,0.87489593,DAI per HOPR,Uniswap v2
"0x7d53e9aa57694bc8e52cd3aad251107fb9bbe6d0c01f56cafa2dbbd6de2f93ba","1614542888",2021-02-28 20:08:08,Buy,1388.08804166736, DAI, 1585.48661956328, HOPR,0.87549653,DAI per HOPR,Uniswap v2
"0x5c0aa447ed5fc63f4ee2b0f150b00d03e5a6259333e269e8fafcb710a37e9829","1614542957",2021-02-28 20:09:17,Buy,1.07555152323848, ETH, 1683.1, HOPR,0.00063903,ETH per HOPR,Uniswap v2
"0x347291c26a479dd514ff954ac3024be97b6bbc3659d850c23918bf86fe427237","1614543031",2021-02-28 20:10:31,Buy,466.554964, DAI, 532.844649446927, HOPR,0.87559285,DAI per HOPR,Uniswap v2
"0xe8abbf03eaa63bcf3e3190f5ba995152ab3eb965ddc88ada8575659f003f1c03","1614543031",2021-02-28 20:10:31,Buy,1175.57644826769, DAI, 1342.47570159277, HOPR,0.87567801,DAI per HOPR,Uniswap v2
"0x8d5adc2f065a915f067b1009c09fdcfbfd49ba752c3c4427df0d82c9a54cee2d","1614543169",2021-02-28 20:12:49,Buy,700.620044132901, DAI, 800, HOPR,0.87577506,DAI per HOPR,Uniswap v2
"0x349b704ee78b35828e3b4f79569227477a90a98ca5cbeb4ba669295b51e229c3","1614543359",2021-02-28 20:15:59,Sell,31984, HOPR, 27798.6404687401, DAI,0.86914209,DAI per HOPR,Uniswap v2
"0xff3c8e3484e42a5c33289e30e8bda6bdfd854f22d25b101e48b91a247944c7a3","1614543479",2021-02-28 20:17:59,Buy,1388.1813482356, DAI, 1590.09286194568, HOPR,0.87301904,DAI per HOPR,Uniswap v2
"0xbeeebc0639c1f5af6295c6c7ed9724ebe25ca4a22ff10672598a0fbcc89ce836","1614543479",2021-02-28 20:17:59,Buy,3667.76872790598, DAI, 4200, HOPR,0.87327827,DAI per HOPR,Uniswap v2
"0x57f4d8f5c2ed1994cd3e08cafcc9d903487191fc75b680faf32f4cf2a1173e48","1614543638",2021-02-28 20:20:38,Sell,7592, HOPR, 6589.07568935201, DAI,0.86789722,DAI per HOPR,Uniswap v2
"0xbdbfb22a4a8b917fe1fce458e30fdcb1cf9b4588cc02e60efd69d91489af87dd","1614543638",2021-02-28 20:20:38,Buy,4915.87587372968, DAI, 5630.75420816884, HOPR,0.87304039,DAI per HOPR,Uniswap v2
"0x76e19c07a678df124bbb1e258af10c385fb7966e9d2f54427349888f15e2c071","1614543708",2021-02-28 20:21:48,Buy,484.591414297079, DAI, 554.885506007039, HOPR,0.87331784,DAI per HOPR,Uniswap v2
"0xe296b32554222648d5cefed0d2f67d5edac5ec01844559feaa73d7ddb6888fe4","1614543877",2021-02-28 20:24:37,Buy,726.38448047044, DAI, 831.693545717239, HOPR,0.87337997,DAI per HOPR,Uniswap v2
"0x4ae7ba914ba4e304b6f68dadc152857cf2758ef018f4773e1b07ab507772f709","1614543878",2021-02-28 20:24:38,Buy,137.97768849696, DAI, 157.973253087989, HOPR,0.87342437,DAI per HOPR,Uniswap v2
"0x1ada11a3d9af0620362739edb4910a459d737e21375b1b9485bca293d5c9eae9","1614543914",2021-02-28 20:25:14,Buy,551.475683641582, DAI, 631.369340087366, HOPR,0.87345971,DAI per HOPR,Uniswap v2
"0x835477864cb68c8ab853894c1c9f6f8fd1f6c107b4dc32b6a4d8847adca0bef1","1614543951",2021-02-28 20:25:51,Buy,8959.36383779567, DAI, 10251.6083755433, HOPR,0.87394714,DAI per HOPR,Uniswap v2
"0x964b5f528516ae88e2f645330df6cef61981dcc691c58f926271ad5c662b7203","1614543973",2021-02-28 20:26:13,Buy,1380.43976615627, DAI, 1578.58606601041, HOPR,0.87447862,DAI per HOPR,Uniswap v2
"0x76dd05ba9cce7278477267d65294d9cad429e25d01704925f8f34dd9b27a17b1","1614544041",2021-02-28 20:27:21,Buy,1103.65281648614, DAI, 1261.88542824924, HOPR,0.87460620,DAI per HOPR,Uniswap v2
